,Split Counties,Split Munis,Cut Edges,"V(44, 50)","V(40, 50)","V(40, 48)",SOEG,SSEG,SMM,SLM,Mean Disprop,#CC,#D PRES16,OEG I0,SEG I0,MM I0,LM I0,Disprop I0,OEG I1,SEG I1,MM I1,LM I1,Disprop I1,OEG I3,SEG I3,MM I3,LM I3,Disprop I3
Daisy v2,48,88,2666,9,11,11,-0.026,-0.007,-0.021,0.6,0.295,247,45,-0.005,0.014,-0.023,0.602,0.043,0.011,0.028,-0.022,0.604,0.06,0.011,0.029,-0.022,0.604,0.06
Enacted HD 22,48,87,2665,8,13,13,-0.025,-0.006,-0.02,0.6,0.304,245,46,-0.005,0.014,-0.022,0.602,0.043,0.011,0.028,-0.021,0.604,0.06,0.011,0.029,-0.021,0.604,0.06
Motown Sound,48,86,2575,10,12,12,-0.026,-0.007,-0.021,0.6,0.295,248,45,-0.005,0.014,-0.023,0.602,0.043,0.011,0.028,-0.022,0.604,0.06,0.011,0.029,-0.022,0.604,0.06
Trillium,48,86,2615,10,11,11,-0.025,-0.006,-0.022,0.6,0.304,246,46,-0.005,0.014,-0.023,0.602,0.043,0.011,0.028,-0.023,0.604,0.06,0.011,0.029,-0.023,0.604,0.06
Water Lily,48,86,2563,9,10,10,-0.028,-0.008,-0.023,0.6,0.277,253,45,-0.005,0.014,-0.024,0.602,0.043,0.011,0.028,-0.023,0.604,0.06,0.011,0.029,-0.023,0.604,0.06
Gingles HD,50,110,2580,15,15,15,-0.021,-0.0,-0.021,0.599,0.386,232,47,-0.005,0.014,-0.019,0.6,0.043,-0.008,0.01,-0.019,0.598,0.041,-0.008,0.01,-0.018,0.598,0.042
Cherry v2,28,28,1368,1,4,4,-0.019,0.003,-0.01,0.591,0.429,64,18,0.001,0.02,-0.012,0.592,0.049,-0.002,0.016,-0.013,0.589,0.048,-0.002,0.017,-0.012,0.59,0.048
Crane,31,19,1298,3,3,3,-0.018,0.003,-0.015,0.593,0.429,70,18,0.003,0.02,-0.015,0.594,0.049,-0.0,0.016,-0.015,0.592,0.048,-0.001,0.017,-0.014,0.592,0.048
Enacted SD 22,31,29,1355,1,4,4,-0.018,0.003,-0.01,0.592,0.429,63,18,0.002,0.02,-0.012,0.594,0.049,-0.001,0.016,-0.013,0.591,0.048,-0.001,0.017,-0.012,0.591,0.048
Linden,31,29,1353,1,4,4,-0.018,0.003,-0.01,0.592,0.429,63,18,0.002,0.02,-0.012,0.594,0.049,-0.001,0.016,-0.013,0.591,0.048,-0.001,0.017,-0.012,0.591,0.048
Palm,27,30,1319,1,4,4,-0.042,-0.02,-0.022,0.588,0.113,70,17,-0.025,-0.006,-0.025,0.588,0.023,-0.028,-0.01,-0.026,0.586,0.021,-0.029,-0.01,-0.025,0.586,0.022
Gingles SD,35,27,1383,5,5,5,-0.021,-0.001,-0.014,0.582,0.376,92,17,-0.025,-0.006,-0.013,0.579,0.023,-0.028,-0.01,-0.014,0.576,0.021,-0.028,-0.01,-0.014,0.577,0.022
Apple v2,18,10,710,0,2,2,-0.002,0.011,-0.017,0.585,0.536,27,6,0.047,0.056,-0.018,0.592,0.086,0.043,0.053,-0.018,0.59,0.084,0.043,0.053,-0.018,0.59,0.084
Birch v2,13,10,685,0,2,2,-0.021,-0.011,-0.017,0.571,0.229,31,6,-0.029,-0.02,-0.016,0.568,0.009,-0.032,-0.024,-0.016,0.565,0.007,-0.032,-0.024,-0.016,0.566,0.007
Enacted CD 22,14,12,696,1,2,2,0.022,0.033,-0.009,0.585,0.844,39,6,0.049,0.056,-0.008,0.587,0.086,0.045,0.053,-0.007,0.585,0.084,0.045,0.053,-0.006,0.585,0.084
Final Chestnut,14,12,700,1,2,2,0.022,0.033,-0.009,0.585,0.844,39,6,0.049,0.056,-0.008,0.588,0.086,0.045,0.053,-0.007,0.585,0.084,0.045,0.053,-0.006,0.585,0.084
