,14,15
PRES16,68251.0,31749
AG18,12670.0,87330
PRES20,10578.0,89422
SEN20,13468.0,86532
GOV18,,100000
SEN18,,100000
SOS18,,100000
AG22,,100000
BOE22,,100000
GOV22,,100000
MSU22,,100000
SOS22,,100000
UOM22,,100000
WSU22,,100000
