,12,13
PRES16,49736.0,50218
PRES20,15291.0,84709
AG18,,99813
GOV18,,100000
SEN18,,100000
SOS18,,100000
SEN20,,99766
AG22,,100000
BOE22,,100000
GOV22,,100000
MSU22,,100000
SOS22,,100000
UOM22,,100000
WSU22,,100000
