,7,8
PRES16,99902.0,
AG18,97241.0,2759.0
SEN18,2696.0,97304.0
PRES20,99111.0,
SEN20,97848.0,2152.0
BOE22,97135.0,2865.0
MSU22,97245.0,2755.0
UOM22,97112.0,2888.0
WSU22,97195.0,2805.0
GOV18,,100000.0
SOS18,,100000.0
AG22,,100000.0
GOV22,,100000.0
SOS22,,100000.0
