,7,8
PRES16,99992.0,
AG18,98915.0,1085.0
SEN18,1932.0,98068.0
PRES20,99703.0,
SEN20,99372.0,
BOE22,98790.0,1210.0
MSU22,98966.0,1034.0
UOM22,98765.0,1235.0
WSU22,98851.0,1149.0
GOV18,,100000.0
SOS18,,100000.0
AG22,,100000.0
GOV22,,100000.0
SOS22,,100000.0
