,7,8
PRES16,99913.0,
AG18,94794.0,5206.0
SEN18,5308.0,94692.0
PRES20,98212.0,1788.0
SEN20,95270.0,4730.0
BOE22,94579.0,5421.0
MSU22,94802.0,5198.0
UOM22,94560.0,5440.0
WSU22,94639.0,5361.0
GOV18,,100000.0
SOS18,,100000.0
AG22,,100000.0
GOV22,,100000.0
SOS22,,100000.0
