,6,5,4,7,8,9,10,11
PRES16,17834.0,44465.0,36147.0,,,,,
AG18,56699.0,28498.0,1422.0,12538.0,,,,
GOV18,2550.0,,,25864.0,43577.0,25134.0,2862.0,
SEN18,50296.0,7321.0,,37186.0,5010.0,,,
SOS18,10072.0,,,46483.0,33700.0,8842.0,,
PRES20,43415.0,16378.0,2123.0,32697.0,5109.0,,,
SEN20,49629.0,34235.0,4790.0,10642.0,,,,
AG22,1744.0,,,25238.0,50625.0,20788.0,1599.0,
BOE22,59321.0,15622.0,,22024.0,2464.0,,,
MSU22,52404.0,30802.0,4269.0,11638.0,,,,
UOM22,57196.0,15136.0,,24008.0,2896.0,,,
WSU22,57153.0,21735.0,2063.0,17380.0,1638.0,,,
GOV22,,,,6635.0,39525.0,45491.0,8186.0,
SOS22,,,,,1182.0,18495.0,62751.0,17414.0
