,1,2,3,4,5,6,7,8,9,10,11,12
0.4,96529,8220,0,0,0,0,0,0,0,0,0,0
0.44,79989,185,0,0,0,0,0,0,0,0,0,0
0.45,73932,79,0,0,0,0,0,0,0,0,0,0
0.46,65299,2,0,0,0,0,0,0,0,0,0,0
0.48,50782,0,0,0,0,0,0,0,0,0,0,0
0.5,44643,0,0,0,0,0,0,0,0,0,0,0
0.6,31466,0,0,0,0,0,0,0,0,0,0,0
0.7,238,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0,0,0
