,5,4,3,6,7,8,9,10,11
PRES16,41613.0,45436.0,1516.0,11004.0,,,,,
AG18,35335.0,5596.0,,48778.0,9819.0,,,,
SEN18,9681.0,,,47420.0,37063.0,5573.0,,,
PRES20,20735.0,3410.0,,43725.0,28132.0,3874.0,,,
SEN20,41633.0,10339.0,,41614.0,6180.0,,,,
BOE22,19422.0,1668.0,,57994.0,18955.0,1929.0,,,
MSU22,38632.0,8363.0,,44360.0,8246.0,,,,
UOM22,20052.0,1839.0,,55002.0,20929.0,2144.0,,,
WSU22,28447.0,3562.0,,52901.0,14197.0,,,,
GOV18,,,,2925.0,22972.0,44056.0,26155.0,3847.0,
SOS18,,,,9442.0,42366.0,36943.0,10370.0,,
AG22,,,,2079.0,26280.0,49675.0,20677.0,1242.0,
GOV22,,,,,6868.0,34782.0,47912.0,10159.0,
SOS22,,,,,,1303.0,18545.0,62925.0,16948.0
