,5,4,6,7,9,10,8,11
PRES16,42834.0,44200.0,11343.0,,,,,
AG18,34131.0,4338.0,49586.0,11290.0,,,,
SEN18,10608.0,,47923.0,35520.0,,,5727.0,
PRES20,21494.0,3544.0,43096.0,28037.0,,,3705.0,
SEN20,43211.0,8671.0,40098.0,7492.0,,,,
BOE22,20053.0,1589.0,57114.0,19199.0,,,1972.0,
MSU22,36877.0,7599.0,45484.0,9369.0,,,,
UOM22,20454.0,1592.0,55138.0,20441.0,,,2288.0,
WSU22,28462.0,3372.0,52416.0,14536.0,,,1209.0,
Index_0,6459.0,,47027.0,36826.0,,,8926.0,
Index_1,5243.0,,41409.0,40157.0,1175.0,,11950.0,
Index_3,5419.0,,43196.0,39319.0,,,10996.0,
GOV18,,,2879.0,20960.0,29708.0,5471.0,40816.0,
SOS18,,,10776.0,39000.0,12061.0,1344.0,36558.0,
AG22,,,1844.0,25301.0,22198.0,2215.0,48408.0,
GOV22,,,,6353.0,46347.0,11302.0,35716.0,
SOS22,,,,,19303.0,68327.0,1132.0,11121.0
