,41,42,43,44,45,46,47,48,49,50,51,52,62,63,61,60,59,58,64,65,54,55,56,57,53,66,67,68,71,72,73,70,69
PRES16,2695.0,10166.0,22217.0,31496.0,22182.0,8042.0,2184.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AG18,,,,,842.0,5579.0,14141.0,25167.0,27402.0,16570.0,6550.0,2448.0,,,,,,,,,,,,,,,,,,,,,
SEN20,,,,,,3356.0,12609.0,28104.0,28618.0,19319.0,6274.0,1377.0,,,,,,,,,,,,,,,,,,,,,
PRES20,,,,,,,,2341.0,7147.0,13249.0,24958.0,25430.0,,,,,,,,,7290.0,1706.0,,,17181.0,,,,,,,,
MSU22,,,,,,,,3238.0,8444.0,18638.0,25599.0,22217.0,,,,,,,,,5648.0,1727.0,,,13636.0,,,,,,,,
WSU22,,,,,,,,,1426.0,5871.0,14137.0,22403.0,,,,,,,,,17611.0,6958.0,2952.0,,28137.0,,,,,,,,
BOE22,,,,,,,,,,,3449.0,8550.0,,,,,,,,,27809.0,25057.0,10732.0,3027.0,20177.0,,,,,,,,
UOM22,,,,,,,,,,,2029.0,6929.0,,,,,,,,,28507.0,25123.0,13505.0,4817.0,17872.0,,,,,,,,
GOV18,,,,,,,,,,,,,26277.0,16932.0,25220.0,15708.0,7516.0,1816.0,4951.0,1378.0,,,,,,,,,,,,,
SOS18,,,,,,,,,,,,,15637.0,4090.0,26401.0,27761.0,17832.0,6110.0,,,,,,1453.0,,,,,,,,,
AG22,,,,,,,,,,,,,24021.0,17068.0,22919.0,15695.0,5435.0,1170.0,9435.0,2789.0,,,,,,1189.0,,,,,,,
GOV22,,,,,,,,,,,,,11870.0,20888.0,4931.0,1446.0,,,20249.0,20100.0,,,,,,12804.0,4930.0,1919.0,,,,,
SEN18,,,,,,,,,,,,,,,,2206.0,9941.0,20265.0,,,4072.0,11601.0,21571.0,29492.0,,,,,,,,,
SOS22,,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,7287.0,13813.0,18661.0,8516.0,3220.0,22457.0,22293.0
