,4,5,6,7,8,9,10,11
PRES16,17522.0,56650.0,24426.0,1378.0,,,,
AG18,2167.0,17934.0,71085.0,8585.0,,,,
SEN20,2141.0,18698.0,69845.0,9022.0,,,,
MSU22,1806.0,20202.0,69714.0,8060.0,,,,
SEN18,,3180.0,64608.0,30142.0,2047.0,,,
PRES20,,7792.0,45872.0,42082.0,3648.0,,,
BOE22,,5655.0,77524.0,15737.0,,,,
UOM22,,6261.0,74843.0,17620.0,1045.0,,,
WSU22,,10412.0,76231.0,12301.0,,,,
GOV18,,,5172.0,31895.0,45649.0,16858.0,,
SOS18,,,16803.0,50758.0,28328.0,3916.0,,
AG22,,,2212.0,35826.0,48701.0,12810.0,,
GOV22,,,,10204.0,38608.0,46663.0,4245.0,
SOS22,,,,,1784.0,23893.0,65370.0,8825.0
