,1,2,3,4,5,6,7,8,9,10,11,12
0.4,99700,8099,0,0,0,0,0,0,0,0,0,0
0.44,98088,2938,0,0,0,0,0,0,0,0,0,0
0.45,89038,486,0,0,0,0,0,0,0,0,0,0
0.46,78003,8,0,0,0,0,0,0,0,0,0,0
0.48,58472,0,0,0,0,0,0,0,0,0,0,0
0.5,50897,0,0,0,0,0,0,0,0,0,0,0
0.6,32154,0,0,0,0,0,0,0,0,0,0,0
0.7,93,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0,0,0
