,4,5,6,3,7,8,9,10,11
PRES16,41525.0,45290.0,10950.0,1575.0,,,,,
AG18,3871.0,32036.0,53188.0,,10215.0,,,,
PRES20,2528.0,20866.0,44296.0,,28499.0,3579.0,,,
SEN20,7686.0,40788.0,44268.0,,6768.0,,,,
MSU22,6337.0,36219.0,48075.0,,8647.0,,,,
WSU22,2444.0,25538.0,55832.0,,14510.0,1660.0,,,
SEN18,,7204.0,49110.0,,37371.0,6041.0,,,
BOE22,,17234.0,59066.0,,20401.0,2515.0,,,
UOM22,,16623.0,57338.0,,22450.0,2754.0,,,
GOV18,,,2870.0,,21841.0,44933.0,26073.0,4203.0,
SOS18,,,10688.0,,43464.0,35264.0,9679.0,,
AG22,,,2082.0,,25748.0,49770.0,20705.0,1673.0,
GOV22,,,,,7270.0,36936.0,46553.0,8920.0,
SOS22,,,,,,1301.0,18708.0,65108.0,14590.0
