,42,43,41,44,45,46,40,47,48,49,50,51,52,61,60,62,59,58,57,63,56,64,55,54,53,66,65,67,70,69,68,71,72,73
PRES16,14345.0,22773.0,5370.0,25038.0,19363.0,8806.0,1002.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AG18,,,,,2644.0,6985.0,,16675.0,26029.0,27047.0,13353.0,4636.0,1722.0,,,,,,,,,,,,,,,,,,,,,
SEN20,,,,,1653.0,3626.0,,11266.0,26949.0,32114.0,18269.0,5074.0,,,,,,,,,,,,,,,,,,,,,,
PRES20,,,,,,1134.0,,3122.0,6675.0,13433.0,24509.0,25973.0,14888.0,,,,,,,,,,,2626.0,7141.0,,,,,,,,,
MSU22,,,,,,,,1051.0,5437.0,15295.0,24216.0,28150.0,17687.0,,,,,,,,,,,1748.0,6262.0,,,,,,,,,
WSU22,,,,,,,,,958.0,6906.0,13032.0,23761.0,28542.0,,,,,,,,,,1593.0,7580.0,17121.0,,,,,,,,,
BOE22,,,,,,,,,,,2537.0,8406.0,17381.0,,,,,,,,3921.0,,12496.0,28552.0,25965.0,,,,,,,,,
UOM22,,,,,,,,,,,2826.0,8648.0,17931.0,,,,,,,,4742.0,,12780.0,28837.0,23679.0,,,,,,,,,
GOV18,,,,,,,,,,,,,,18510.0,21802.0,14130.0,18196.0,11949.0,5126.0,6433.0,1782.0,1092.0,,,,,,,,,,,,
SOS18,,,,,,,,,,,,,,12547.0,21115.0,4089.0,23260.0,18562.0,12113.0,,5804.0,,1589.0,,,,,,,,,,,
AG22,,,,,,,,,,,,,,24109.0,24308.0,18681.0,12261.0,4953.0,1220.0,9108.0,,4225.0,,,,,,,,,,,,
GOV22,,,,,,,,,,,,,,9251.0,3007.0,19145.0,1095.0,,,22122.0,,20858.0,,,,7923.0,13525.0,2338.0,,,,,,
SEN18,,,,,,,,,,,,,,,,,,7182.0,20550.0,,31589.0,,24036.0,13128.0,2350.0,,,,,,,,,
SOS22,,,,,,,,,,,,,,,,,,,,,,,,,,3855.0,,11112.0,18045.0,25122.0,21992.0,12684.0,5061.0,938.0
