,5,4,6,3,7,8,9,10,11
PRES16,45876.0,38800.0,11804.0,2951.0,,,,,
AG18,32845.0,5260.0,50987.0,,10316.0,,,,
SEN18,8268.0,,46751.0,,38278.0,6515.0,,,
PRES20,30940.0,5749.0,46878.0,,14997.0,1354.0,,,
SEN20,37857.0,8134.0,45354.0,,8148.0,,,,
BOE22,21883.0,2245.0,56111.0,,18194.0,1515.0,,,
MSU22,35942.0,7306.0,47350.0,,8818.0,,,,
UOM22,21113.0,2099.0,54580.0,,20386.0,1784.0,,,
WSU22,28311.0,4034.0,53158.0,,13561.0,,,,
GOV18,,,4467.0,,25960.0,45420.0,21843.0,2104.0,
SOS18,,,9032.0,,39743.0,39707.0,10579.0,,
AG22,,,4846.0,,24182.0,41663.0,25094.0,3996.0,
GOV22,,,,,7378.0,30529.0,45506.0,15931.0,
SOS22,,,,,,2048.0,22911.0,58064.0,16401.0
