GEOID20,assignment
26099099137,11
26099099130,11
26099099134,11
26099099141,11
26099099117,11
26099099108,11
26099099107,11
26099099121,11
26099099131,11
26099099127,11
26099099128,11
26099099123,11
26099099140,11
26099099132,11
26099099109,11
26099099136,11
26099099135,11
26099099126,11
26099099118,11
26099099124,11
26099099116,11
26099099120,11
26099099119,11
26099099114,11
26099099111,11
26099099113,11
26099099139,11
26099099112,11
26099099125,11
26099099110,11
26099099268,10
26099099267,10
26099099266,10
26099099259,10
26099099256,10
26099099270,10
26099099269,10
26099099260,10
26099099255,10
26099099261,10
26099099250,10
26099099249,10
26099099248,10
26099099251,10
26099099236,10
26099099242,10
26099099241,10
26099099240,10
26099099239,10
26099099234,10
26099099233,10
26099099235,10
26099099231,3
26099099258,10
26099099257,10
26099099062,11
26099099066,11
26099099060,11
26099099048,11
26099099050,11
26099099061,11
26099099065,11
26099099058,11
26099099064,11
26099099044,11
26099099068,11
26099099051,11
26099099035,11
26099099046,11
26099099039,11
26099099040,11
26099099032,11
26099099036,11
26099099042,11
26099099043,11
26099099049,11
26099099041,11
26099099057,11
26099099038,11
26099099028,11
26099099045,11
26099099067,11
26099099026,11
26099099052,11
26099099071,11
26099099063,11
26099099054,11
26099099069,11
26099099070,11
26099099059,11
26099099084,11
26099099086,11
26099099092,11
26099099091,11
26099099087,11
26099099089,11
26099099088,11
26099099090,11
26099099176,11
26099099174,11
26099099172,11
26099099170,11
26099099164,11
26099099177,11
26099099171,11
26099099175,11
26099099173,11
26099099168,11
26099099169,11
26099099167,11
26099099166,11
26099099165,11
26099099163,11
26099099083,11
26099099075,11
26099099074,11
26099099073,11
26099099082,11
26099099076,11
26099099085,11
26099099080,11
26099099081,11
26099099077,11
26099099078,11
26099099079,11
26099099072,11
26099099318,10
26099099317,10
26099099307,10
26099099308,10
26099099306,10
26099099310,10
26099099309,10
26099099297,10
26099099298,10
26099099288,3
26099099287,3
26099099286,3
26099099296,10
26099099295,10
26099099293,10
26099099294,10
26099099316,10
26099099305,10
26099099315,10
26099099314,10
26099099304,10
26099099327,10
26099099292,10
26099099291,3
26099099289,3
26099099290,3
26099099285,3
26099099284,3
26099099282,3
26099099281,3
26099099328,10
26099099303,10
26099099302,10
26099099301,10
26099099313,10
26099099311,10
26099099312,10
26099099324,10
26099099321,10
26099099326,3
26099099283,3
26099099320,3
26099099280,3
26099099319,3
26099099322,10
26099099323,10
26099099007,10
26099099008,10
26099099009,10
26099099011,10
26099099010,10
26099099299,10
26099099300,10
26099099325,10
26125125004,7
26125125011,7
26125125012,7
26125125009,7
26125125007,7
26125125006,7
26125125010,7
26125125005,7
26125125008,7
26125125281,7
26125125282,7
26125125279,7
26125125285,7
26125125286,7
26125125287,7
26125125284,7
26125125283,7
26125125290,7
26125125288,7
26125125289,7
26125125294,7
26125125291,7
26125125275,7
26125125292,7
26125125280,7
26125125278,7
26125125276,7
26125125293,7
26125125274,7
26125125277,7
26125125458,7
26125125457,7
26125125170,7
26125125463,7
26125125053,7
26125125049,7
26125125054,7
26125125057,7
26125125040,7
26125125050,7
26125125047,7
26125125032,7
26125125042,7
26125125041,7
26125125029,7
26125125058,7
26125125031,7
26125125039,7
26125125044,7
26125125035,7
26125125037,7
26125125036,7
26125125062,7
26125125061,7
26125125020,8
26125125021,8
26125125023,8
26125125024,8
26125125025,8
26125125028,8
26125125027,8
26125125026,8
26125125022,8
26125125403,7
26125125404,7
26125125401,7
26125125402,7
26125125400,8
26125125398,8
26125125399,8
26125125407,7
26125125405,7
26125125406,7
26125125171,7
26125125172,7
26125125389,7
26125125391,7
26125125388,7
26125125384,7
26125125366,7
26125125365,7
26125125364,7
26125125363,7
26125125362,7
26125125367,7
26125125387,7
26125125386,7
26125125392,7
26125125385,7
26125125390,7
26125125369,7
26125125368,7
26125125370,7
26125125371,7
26125125375,7
26125125374,7
26125125372,7
26125125373,7
26125125376,7
26125125393,7
26125125394,7
26125125397,7
26125125380,7
26125125377,7
26125125378,7
26125125379,7
26125125383,7
26125125382,7
26125125381,7
26125125395,7
26125125396,7
26125125091,6
26125125089,6
26125125090,6
26125125092,6
26125125093,6
26125125094,6
26125125107,6
26125125113,6
26125125112,6
26125125108,6
26125125109,6
26125125121,6
26125125120,6
26125125114,6
26125125115,6
26125125110,6
26125125116,6
26125125117,6
26125125119,6
26125125118,6
26125125111,6
26125125014,8
26125125013,8
26125125015,8
26125125018,8
26125125017,8
26125125016,8
26125125019,8
26125125234,8
26125125235,8
26125125236,8
26125125361,8
26125125233,8
26125125246,8
26125125245,8
26125125247,8
26125125248,8
26125125244,8
26125125243,8
26125125237,8
26125125238,8
26125125241,8
26125125239,8
